Date,Open,High,Low,Close,Volume,adj_close,shares
2009-01-02,39.5,41.07,38.93,40.75,217400,38.36,vw
2009-01-05,41.84,42.39,40.25,41.5,207800,39.06,vw
2009-01-06,42,46,41.93,43.55,286800,40.99,vw
2009-01-07,44.18,44.18,40.2,40.35,359700,37.98,vw
2009-01-08,40,41.63,38.25,40.85,410200,38.45,vw
2009-01-09,40.7,42.25,39.76,41.34,311000,38.91,vw
2009-01-12,41.2,41.49,38.72,39.03,165500,36.74,vw
2009-01-13,39.3,39.43,37.6,38.49,261300,36.23,vw
2009-01-14,39,39.7,37.95,38.09,155300,35.85,vw
2009-01-15,38.43,39.24,37.54,38.4,292300,36.14,vw
2009-01-16,39,39,36,37.56,209400,35.35,vw
2009-01-19,38.85,38.85,37,37,182800,34.83,vw
2009-01-20,37.5,38.25,36.8,37.4,201000,35.2,vw
2009-01-21,37.25,39.3,36.57,37.74,205000,35.52,vw
2009-01-22,37.15,38.32,35.01,35.5,340500,33.41,vw
2009-01-23,35.54,36.08,33.1,34.03,201300,32.03,vw
2009-01-26,34,34.75,31.75,34.39,161600,32.37,vw
2009-01-27,34.65,36.26,33.51,35.12,142300,33.06,vw
2009-01-28,35.8,38.78,35.65,38.36,266900,36.11,vw
2009-01-29,38.36,38.83,36.72,38.83,174600,36.55,vw
2009-01-30,38.8,40.1,38,38.75,328800,36.47,vw
2009-02-02,39,39,34.7,36.24,216600,34.11,vw
2009-02-03,36.67,36.89,33.65,35.92,208900,33.81,vw
2009-02-04,37.1,38,36.03,36.84,181500,34.68,vw
2009-02-05,35.84,37.37,35.55,36.29,120500,34.16,vw
2009-02-06,36.9,38.99,36,38,208800,35.77,vw
2009-02-09,38.2,39.5,37.26,39.07,252200,36.77,vw
2009-02-10,39.65,39.65,36.4,36.4,241200,34.26,vw
2009-02-11,36.39,37.08,35.55,36.4,145900,34.26,vw
2009-02-12,36.77,36.77,35.01,35.58,131200,33.49,vw
2009-02-13,36.51,38,36.4,37,212400,34.83,vw
2009-02-16,37.32,38.48,36.53,37.75,180200,35.53,vw
2009-02-17,37.49,37.79,36.92,37.2,113300,35.01,vw
2009-02-18,37.65,39.37,36.75,38.66,343000,36.39,vw
2009-02-19,38.66,39.25,38,38.41,179300,36.15,vw
2009-02-20,38,38.28,36.5,36.74,128800,34.58,vw
2009-02-23,37.7,37.7,35.5,36.05,220300,33.93,vw
2009-02-24,35.63,35.98,34,34.5,217600,32.47,vw
2009-02-25,35.03,35.09,33.77,34.61,200400,32.58,vw
2009-02-26,34.71,36.45,34.65,35.88,235300,33.77,vw
2009-02-27,34.86,36.4,33.9,35.62,274000,33.53,vw
2009-03-02,34.4,36.8,33,34.23,282000,32.22,vw
2009-03-03,34.89,35.57,34.23,34.99,335200,32.93,vw
2009-03-04,35.75,36.65,34.54,36.39,291600,34.25,vw
2009-03-05,36,36,32.77,33,244100,31.06,vw
2009-03-06,33.82,34.35,31.49,31.49,117900,29.64,vw
2009-03-09,31.11,31.42,29.55,30.24,279400,28.46,vw
2009-03-10,30.6,31.89,30.55,31.09,373800,29.26,vw
2009-03-11,30.8,36.2,30.7,35.6,925800,33.51,vw
2009-03-12,35.55,37.3,34.91,36.32,405500,34.19,vw
2009-03-13,37.43,37.46,35.64,36.39,273900,34.25,vw
2009-03-16,37.45,38.33,36.01,36.76,255100,34.6,vw
2009-03-17,36.5,36.67,34.85,35.71,402100,33.61,vw
2009-03-18,35.55,35.89,33.8,34.97,325000,32.92,vw
2009-03-19,34.88,37.43,34.88,36.27,484200,34.14,vw
2009-03-20,36.36,36.67,34.99,35.4,563300,33.32,vw
2009-03-23,36.5,36.88,34.88,35.3,263500,33.23,vw
2009-03-24,35.9,36.44,35.5,36,164900,33.89,vw
2009-03-25,37.3,38.4,35.6,38.1,618800,35.86,vw
2009-03-26,38.1,40.58,38.1,40.58,1149700,38.2,vw
2009-03-27,41.15,45.39,39.53,44.2,916600,41.6,vw
2009-03-30,43.27,44.2,40.75,41.5,712100,39.06,vw
2009-03-31,42,44.89,40.9,43.34,407500,40.79,vw
2009-04-01,42.72,46.67,42.72,46,415100,43.3,vw
2009-04-02,46.6,50.6,46.6,49.13,558600,46.24,vw
2009-04-03,49.14,49.74,45.9,47.39,577600,44.61,vw
2009-04-06,48.3,50.4,46.5,49.65,627100,46.73,vw
2009-04-07,51,53.85,50.67,52.07,668700,49.01,vw
2009-04-08,51.6,53.75,51.36,52.39,467900,49.31,vw
2009-04-09,53.73,56.25,53.09,55.57,427400,52.31,vw
2009-04-14,58.7,59.1,56.09,56.3,466800,52.99,vw
2009-04-15,54.85,54.85,50.65,52.15,901700,49.09,vw
2009-04-16,52.45,55.78,51.8,53.58,678300,50.43,vw
2009-04-17,54.98,56.54,53.22,56,469000,52.71,vw
2009-04-20,57.01,57.4,53.51,54.8,313500,51.58,vw
2009-04-21,55.05,55.5,49.65,52,404700,48.95,vw
2009-04-22,53.46,55.33,51.17,54.64,332700,51.43,vw
2009-04-23,54.65,54.72,51.5,52.67,575900,49.58,vw
2009-04-24,51.49,51.93,49.79,50.99,643400,49.88,vw
2009-04-27,49.6,50.25,47.38,48.59,445400,47.53,vw
2009-04-28,48.25,48.25,45.02,46.34,623700,45.33,vw
2009-04-29,46.01,46.82,44.95,45.1,487100,44.12,vw
2009-04-30,45.78,48.89,45.76,48,651900,46.95,vw
2009-05-04,48.5,48.5,44.49,45.42,572600,44.43,vw
2009-05-05,45.41,46.97,44.53,46.34,364300,45.33,vw
2009-05-06,46.74,47.51,44.76,45.54,429700,44.55,vw
2009-05-07,47.11,49.3,44.42,46.22,1146800,45.21,vw
2009-05-08,46.39,47.15,44.51,45.42,609100,44.43,vw
2009-05-11,45.2,45.66,41.36,41.79,880800,40.88,vw
2009-05-12,41.13,44.87,41.13,42.5,476400,41.57,vw
2009-05-13,42.2,42.95,41.91,42.52,467300,41.59,vw
2009-05-14,42.75,45.48,42.53,44.95,537700,43.97,vw
2009-05-15,45.13,48.94,44.28,48.15,397400,47.1,vw
2009-05-18,47.29,47.75,46.07,47.16,259800,46.13,vw
2009-05-19,47.36,49.85,47,49.15,380700,48.08,vw
2009-05-20,49.55,50.8,48.6,49.5,291300,48.42,vw
2009-05-21,49.05,49.36,48.51,49,41600,47.93,vw
2009-05-22,49.1,50.08,46.95,50.08,159800,48.99,vw
2009-05-25,50.2,50.2,48,49,124100,47.93,vw
2009-05-26,48.3,49.39,46.65,49.39,194700,48.31,vw
2009-05-27,49.49,49.49,48.5,49.4,157500,48.32,vw
2009-05-28,48.85,49.42,48.25,49.3,111200,48.23,vw
2009-05-29,49.2,50.84,48.4,50.48,305200,49.38,vw
2009-06-01,51,54.3,51,54.3,145200,53.12,vw
2009-06-02,53.99,54.3,52.4,52.65,151900,51.5,vw
2009-06-03,54,54,49.21,50.23,183200,49.14,vw
2009-06-04,49.76,52.5,48.36,52.31,211200,51.17,vw
2009-06-05,52,54.5,51.93,53.7,417000,52.53,vw
2009-06-08,53.5,54.66,52.63,53.1,192000,51.94,vw
2009-06-09,52.92,54,52.23,52.5,196300,51.36,vw
2009-06-10,53.1,53.78,52.37,52.89,163200,51.74,vw
2009-06-11,53.1,53.57,51.73,52.5,223800,51.36,vw
2009-06-12,52.62,53.36,51.7,52.25,146100,51.11,vw
2009-06-15,52.53,52.53,49.98,50.79,152300,49.68,vw
2009-06-16,50.88,50.99,48.2,48.42,361500,47.36,vw
2009-06-17,48.63,48.98,45.55,46.58,346100,45.57,vw
2009-06-18,46.61,48.24,46.21,47.95,272300,46.91,vw
2009-06-19,48.5,49.03,46.81,47.77,184500,46.73,vw
2009-06-22,47.59,48.59,46.42,46.58,164100,45.57,vw
2009-06-23,46.89,48.38,46.72,47.59,117600,46.55,vw
2009-06-24,47.05,48.05,45.9,47.5,368500,46.46,vw
2009-06-25,47.5,48.75,47.09,48.1,241000,47.05,vw
2009-06-26,48,49,46.4,47.69,278400,46.65,vw
